DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
Valle del Cauca,JAMUNDÍ,1423,2019,11,1524101,0,0,0,0,0,0,0,0
Antioquia,SAN ROQUE,1423,2019,11,4269201,0,0,0,0,0,0,0,0
Casanare,MANÍ,1423,2019,11,5752401,15,0,2,0,0,0,0,0
Cesar,LA JAGUA DE IBIRICO,1423,2019,11,1523301,2,0,0,0,0,0,0,0
Antioquia,MEDELLÍN,1423,2019,11,1660401,6,7,0,0,0,0,0,0
Cundinamarca,FÚQUENE,1423,2019,11,2012101,13,0,1,0,0,0,0,0
Cundinamarca,TENJO,1423,2019,11,4514102,8,0,0,0,0,0,0,0
Boyacá,DUITAMA,1423,2019,11,5451101,0,0,0,0,0,0,0,0
Boyacá,MONIQUIRÁ,1423,2019,11,2156301,0,0,0,0,0,0,0,0
Antioquia,SABANETA,1423,2019,11,2553001,56,0,0,0,0,0,0,0
Tolima,IBAGUÉ,1423,2019,11,1801101,187,32,1,0,0,0,0,0
Norte de Santander,CÚCUTA,1423,2019,11,1639001,47,1,0,0,0,0,0,0
Santander,BUCARAMANGA,1423,2019,11,2551201,30,1,2,0,0,0,0,0
Norte de Santander,CÚCUTA,1423,2019,11,2361201,0,0,0,0,0,0,0,0
Cundinamarca,VILLA DE SAN DIEGO DE UBATE,1423,2019,11,1919101,11,3,0,0,0,0,0,0
